2016-12-19 13:34:06,978 [Worker-19] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: ScreverJPA:ScreverJPA:0.0.1-SNAPSHOT @ /Users/MacBookPro15/SD/Java/SCREVER/ScreverJPA/pom.xml.
2016-12-19 13:34:06,985 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Screver:Screver:0.0.1-SNAPSHOT @ /Users/MacBookPro15/SD/Java/SCREVER/Screver/pom.xml.
2016-12-19 13:34:07,868 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-19 13:34:07,886 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2016-12-19 13:34:07,898 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-19 13:34:07,898 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/MacBookPro15/SD/Java/SCREVER/ScreverJPA/src/test/resources
2016-12-19 13:34:08,297 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Screver:Screver:0.0.1-SNAPSHOT @ /Users/MacBookPro15/SD/Java/SCREVER/Screver/pom.xml.
2016-12-19 13:34:08,454 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: ScreverJPA:ScreverJPA:0.0.1-SNAPSHOT @ /Users/MacBookPro15/SD/Java/SCREVER/ScreverJPA/pom.xml.
2016-12-19 13:34:11,860 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-19 13:34:11,867 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2016-12-19 13:34:11,876 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-19 13:34:11,876 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/MacBookPro15/SD/Java/SCREVER/ScreverJPA/src/test/resources
2016-12-19 13:34:12,403 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-19 13:34:12,404 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/MacBookPro15/SD/Java/SCREVER/Screver/src/main/resources
2016-12-19 13:34:12,405 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-19 13:34:12,406 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/MacBookPro15/SD/Java/SCREVER/Screver/src/test/resources
2016-12-19 13:35:00,680 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
